SENTIDO,LATITUD,LONGITUD,anio,mes,dia,hr,greater_mean
Interna,-34.588796,-58.38152,2020,10,27,11,True
Egreso,-34.588796,-58.38152,2021,11,19,22,True
Ingreso,-34.633299,-58.468594,2020,12,30,18,True
Interna,-34.618036,-58.410236,2020,7,12,1,False
Interna,-34.53698,-58.470968,2022,1,20,14,True
Interna,-34.588796,-58.38152,2021,10,14,11,True
Ingreso,-34.633299,-58.468594,2020,8,15,0,False
Interna,-34.579632,-58.427733,2021,1,16,7,True
Egreso,-34.588796,-58.38152,2020,6,5,12,True
Interna,-34.633299,-58.468594,2021,3,12,17,False
Interna,-34.60855,-58.372951,2021,6,22,3,False
Egreso,-34.579632,-58.427733,2022,1,28,20,False
Egreso,-34.633299,-58.468594,2020,7,26,8,False
Interna,-34.60855,-58.372951,2021,1,4,12,True
Ingreso,-34.588796,-58.38152,2021,1,24,9,False
Interna,-34.633299,-58.468594,2020,7,5,5,False
Interna,-34.60855,-58.372951,2021,7,8,13,False
Ingreso,-34.633299,-58.468594,2021,9,10,21,True
Ingreso,-34.588796,-58.38152,2020,10,26,11,True
Ingreso,-34.633299,-58.468594,2020,8,1,0,False
Interna,-34.588796,-58.38152,2021,9,19,7,False
Egreso,-34.633299,-58.468594,2021,9,30,12,True
Egreso,-34.588796,-58.38152,2022,2,8,7,True
Interna,-34.618036,-58.410236,2021,12,14,8,True
Interna,-34.53698,-58.470968000000006,2020,3,21,16,False
Interna,-34.579632,-58.427733,2021,4,30,21,True
Egreso,-34.633299,-58.468594,2021,6,24,7,True
Egreso,-34.579632,-58.427733,2020,9,5,19,False
Interna,-34.579632,-58.427733,2021,10,16,2,True
Interna,-34.588796,-58.38152,2021,10,22,7,True
Interna,-34.579632,-58.427733,2021,4,8,6,True
Interna,-34.60855,-58.372951,2020,9,2,14,True
Interna,-34.53698,-58.470968,2022,1,15,15,False
Egreso,-34.588796,-58.38152,2020,10,18,19,False
Interna,-34.60855,-58.372951,2021,12,31,17,False
Interna,-34.588796,-58.38152,2021,9,9,21,False
Ingreso,-34.588796,-58.38152,2021,6,10,21,False
Ingreso,-34.588796,-58.38152,2020,4,3,8,False
Interna,-34.633299,-58.468594,2020,10,4,22,False
Egreso,-34.579632,-58.427733,2021,11,30,20,False
Interna,-34.53698,-58.470968,2021,9,26,14,True
Interna,-34.60855,-58.372951,2021,8,5,10,False
Egreso,-34.579632000000004,-58.427733,2020,3,2,2,False
Interna,-34.588796,-58.38152,2021,4,13,5,False
Ingreso,-34.588796,-58.38152,2020,7,19,0,False
Interna,-34.588796,-58.38152,2020,7,9,15,False
Interna,-34.618036,-58.410236,2020,8,31,13,True
Interna,-34.60855,-58.372951,2021,9,20,3,False
Interna,-34.633299,-58.468594,2021,1,17,5,False
Egreso,-34.588796,-58.38152,2021,3,28,23,False
Egreso,-34.588796,-58.38152,2022,3,8,14,True
Egreso,-34.633299,-58.468594,2020,11,10,23,False
Interna,-34.633299,-58.468594,2020,8,23,3,False
Interna,-34.60855,-58.372951,2020,4,24,23,False
Egreso,-34.579632,-58.427733,2020,9,29,21,False
Interna,-34.579632,-58.427733,2021,11,20,5,False
Egreso,-34.633299,-58.468594,2021,9,14,14,True
Interna,-34.60855,-58.372951,2022,3,4,6,False
Ingreso,-34.588796,-58.38152,2021,8,19,15,True
Interna,-34.579632,-58.427733,2020,8,25,9,True
Interna,-34.53698,-58.470968,2021,9,27,6,False
Ingreso,-34.633299,-58.468594,2022,3,12,2,False
Interna,-34.579632000000004,-58.427733,2020,4,9,0,False
Interna,-34.579632,-58.427733,2021,2,28,20,True
Interna,-34.588796,-58.38152,2020,7,8,20,False
Egreso,-34.588796,-58.38152,2020,7,31,6,True
Egreso,-34.588796,-58.38152,2021,11,2,23,False
Interna,-34.618036,-58.410236,2020,12,1,20,True
Interna,-34.53698,-58.470968,2020,12,15,6,False
Egreso,-34.579632,-58.427733,2022,1,13,9,False
Ingreso,-34.588796,-58.38152,2020,5,3,17,False
Ingreso,-34.588796,-58.38152,2022,2,17,10,True
Egreso,-34.633299,-58.468594,2020,4,13,8,True
Interna,-34.588796,-58.38152,2022,1,17,9,True
Interna,-34.588796,-58.38152,2022,2,6,3,False
Egreso,-34.579632000000004,-58.427733,2020,3,22,17,False
Interna,-34.60855,-58.372951,2020,9,21,9,True
Interna,-34.588796,-58.38152,2020,11,23,14,True
Interna,,,2020,4,26,19,False
Interna,-34.579632,-58.427733,2021,3,1,11,True
Interna,-34.588796,-58.38152,2021,7,18,2,False
Interna,-34.633299,-58.468594,2021,6,1,17,False
Ingreso,-34.633299,-58.468594,2021,9,4,20,True
Egreso,-34.633299,-58.468594,2020,8,10,14,True
