"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
3	0.911934926068391	15	15	"Churn"	"Yes"	0
4	0.927620900293655	15	15	"Churn"	"Yes"	0
5	0.901473858631666	15	15	"Churn"	"Yes"	0
6	0.93041638388758	15	15	"Churn"	"Yes"	0
7	0.940023789758014	15	15	"Churn"	"Yes"	0
8	0.931029108521556	15	15	"Churn"	"Yes"	0
9	0.905556574362736	15	15	"Churn"	"Yes"	0
10	0.928806206501923	15	15	"Churn"	"Yes"	0
11	0.895964904366655	15	15	"Churn"	"Yes"	0
12	0.911069651741294	15	15	"Churn"	"Yes"	0
13	0.893874840922924	15	15	"Churn"	"Yes"	0
14	0.915325598802395	15	15	"Churn"	"Yes"	0
15	0.926964820359281	15	15	"Churn"	"Yes"	0
16	0.894748914846314	15	15	"Churn"	"Yes"	0
17	0.925652699803734	15	15	"Churn"	"Yes"	0
18	0.912409071459136	14	15	"Churn"	"Yes"	0
19	0.936985139484355	15	15	"Churn"	"Yes"	0
20	0.897272117725941	14	15	"Churn"	"Yes"	0
21	0.913197628216884	15	15	"Churn"	"Yes"	0
22	0.909535236616438	15	15	"Churn"	"Yes"	0
23	0.904421164772727	15	15	"Churn"	"Yes"	0
24	0.926221646765453	14	15	"Churn"	"Yes"	0
25	0.8976697468863	15	15	"Churn"	"Yes"	0
26	0.8902135876755	15	15	"Churn"	"Yes"	0
27	0.913115984837296	15	15	"Churn"	"Yes"	0
28	0.907563875537566	15	15	"Churn"	"Yes"	0
29	0.89198504264974	15	15	"Churn"	"Yes"	0
30	0.892475442839578	15	15	"Churn"	"Yes"	0
1	0.861914084280174	16	16	"Churn"	"Yes"	0
2	0.895727142183783	16	16	"Churn"	"Yes"	0
3	0.922846123305541	15	16	"Churn"	"Yes"	0
4	0.921144324225197	16	16	"Churn"	"Yes"	0
5	0.92128193767538	16	16	"Churn"	"Yes"	0
6	0.905299772324817	16	16	"Churn"	"Yes"	0
7	0.935182370820669	16	16	"Churn"	"Yes"	0
8	0.90481684803731	16	16	"Churn"	"Yes"	0
9	0.906268240675664	16	16	"Churn"	"Yes"	0
10	0.913080018939394	15	16	"Churn"	"Yes"	0
11	0.881881339814032	16	16	"Churn"	"Yes"	0
12	0.919457179534201	15	16	"Churn"	"Yes"	0
13	0.901734400656814	16	16	"Churn"	"Yes"	0
14	0.925230181758802	16	16	"Churn"	"Yes"	0
15	0.896156688839616	16	16	"Churn"	"Yes"	0
16	0.894517575408814	16	16	"Churn"	"Yes"	0
17	0.904522058396366	16	16	"Churn"	"Yes"	0
18	0.930582229546384	15	16	"Churn"	"Yes"	0
